t,v,i
9.57988803966886E-08,97.35332,0.04144435
9.5869646398288E-08,97.68147,0.06372494
9.59428881011382E-08,98.01453,0.09251531
9.60204053768515E-08,98.35914,0.1241001
9.61107510140018E-08,98.75127,0.1560766
9.6209931920257E-08,99.17276,0.1782132
9.63270263348658E-08,99.6646,0.1807912
9.64760049905479E-08,100.291,0.1548881
9.65495314540741E-08,100.604,0.1314593
9.66200734233805E-08,100.9095,0.1038092
9.66903159021756E-08,101.2183,0.07669619
9.67573651964573E-08,101.5172,0.05413675
9.68203611113214E-08,101.8009,0.03841744
9.68902239261955E-08,102.1174,0.02868083
9.69539703505943E-08,102.4061,0.02857897
9.70551927425434E-08,102.8613,0.04303578
9.71497687066622E-08,103.2799,0.06803714
9.72549261001024E-08,103.7346,0.1034274
9.73528568214756E-08,104.1471,0.1350051
9.74607126035272E-08,104.5907,0.1593482
9.75726942358207E-08,105.0445,0.1658719
9.77113947975548E-08,105.6053,0.1495131
9.77979301731708E-08,105.9582,0.1274131
9.78786027997495E-08,106.2923,0.1007451
9.79579393258677E-08,106.6258,0.07448637
9.80345857688511E-08,106.9524,0.05294783
9.8109058981953E-08,107.2727,0.03884543
9.81907188954576E-08,107.6252,0.03296971
9.82695893230144E-08,107.9645,0.03789674
9.83756502747531E-08,108.4156,0.05771573
9.84721218763242E-08,108.8179,0.08376388
9.85811344000466E-08,109.2618,0.1156011
9.86804931773321E-08,109.6569,0.1387205
9.87961685459351E-08,110.1086,0.151089
9.89185561670671E-08,110.5836,0.1444473
9.90560550653037E-08,111.1201,0.1177149
9.91461558908062E-08,111.4763,0.0931178
9.92245460061483E-08,111.791,0.07086582
9.9303040977925E-08,112.1099,0.05236545
9.93838758194683E-08,112.4407,0.04030114
9.94700616623546E-08,112.7942,0.03710072
9.95616871811824E-08,113.1681,0.04442378
9.96476343879517E-08,113.5146,0.05997609
9.97399581868194E-08,113.8801,0.0824661
9.98499845141494E-08,114.3062,0.1098839
9.99534856968375E-08,114.6983,0.1293374
1.0007375200782E-07,115.1468,0.1376578
1.00203285141645E-07,115.6274,0.1289219
1.00308704748422E-07,116.0203,0.1099052
1.00387601575397E-07,116.3176,0.09074605
1.00464041743164E-07,116.6091,0.07165425
1.00542851135363E-07,116.9128,0.05485538
1.00623377376905E-07,117.2252,0.04335774
1.00708708408618E-07,117.557,0.03931735
1.00801446671194E-07,117.9161,0.0443447
1.00884316442233E-07,118.2337,0.05629943
1.00972309538817E-07,118.5655,0.07431965
1.01078965399847E-07,118.9598,0.09766038
1.01178837224873E-07,119.3216,0.1153522
1.01296551310331E-07,119.7409,0.1252209
1.01422516945301E-07,120.1865,0.1205707
1.01552321189044E-07,120.6466,0.1020454
1.01635515037006E-07,120.9442,0.08505166
1.01709514821835E-07,121.2118,0.06902129
1.01785997155031E-07,121.4907,0.0547411
1.01865395068737E-07,121.7821,0.04459246
1.01949532986657E-07,122.0913,0.04062475
1.02040367662301E-07,122.4239,0.04431922
1.02125908693007E-07,122.7341,0.05457757
1.0221548775209E-07,123.0539,0.07017593
1.02323940590705E-07,123.4338,0.09054983
1.02424727568715E-07,123.7801,0.1058346
1.02543939465474E-07,124.1831,0.1141532
1.02671614799517E-07,124.6117,0.1096817
1.02798904350159E-07,125.0396,0.09362886
1.02883472866838E-07,125.3261,0.07859302
1.0296094422892E-07,125.591,0.06425472
1.03042836326976E-07,125.8731,0.05176696
1.03136694595915E-07,126.198,0.04302334
1.032254534962E-07,126.5047,0.04206289
1.03345184756832E-07,126.9155,0.05065759
1.0343641279813E-07,127.2242,0.06285697
1.03533456634669E-07,127.5465,0.0785298
1.03647495534324E-07,127.9182,0.09466095
1.03760119825002E-07,128.2791,0.1032384
1.03896005033734E-07,128.7105,0.100522
1.04061738479876E-07,129.2368,0.08318683
1.04159674672316E-07,129.55,0.06841079
1.04241808291378E-07,129.8149,0.05600112
1.0433158517591E-07,130.1061,0.04609261
1.04430981631633E-07,130.4288,0.04161946
1.04540809632331E-07,130.7835,0.04508372
1.04654418691713E-07,131.146,0.05620111
1.04759589661052E-07,131.4757,0.07025773
1.04872349997869E-07,131.8223,0.08451164
1.04991390054236E-07,132.1818,0.09353979
1.05120419535488E-07,132.5672,0.09282636
1.05281339782193E-07,133.0468,0.07970095
1.05373690748694E-07,133.3232,0.06791616
1.05457497098643E-07,133.5758,0.05651294
1.05551394414343E-07,133.8603,0.04656297
1.05658374013046E-07,134.1849,0.04102621
1.05765353377035E-07,134.5076,0.04312192
1.05917103066771E-07,134.9592,0.05560797
1.06039628219758E-07,135.3168,0.06924124
1.06157268895191E-07,135.653,0.08068946
1.06281729786729E-07,136.0029,0.0859724
1.06417167728102E-07,136.3804,0.0819854
1.06557937255745E-07,136.7725,0.06951058
1.06655057515957E-07,137.0443,0.05821714
1.06745452618666E-07,137.2986,0.04843199
1.06847259847894E-07,137.5859,0.04124059
1.06955444940909E-07,137.8904,0.039708
1.07080198315753E-07,138.2386,0.04512453
1.07173689076916E-07,138.496,0.05316897
1.07274392465808E-07,138.7682,0.06336573
1.07402797851657E-07,139.1091,0.07396618
1.07522233573837E-07,139.4212,0.07786623
1.07671065401629E-07,139.8067,0.07333511
1.07806702838892E-07,140.1577,0.0625127
1.07902993091621E-07,140.4077,0.05273943
1.07994860976739E-07,140.6471,0.04451999
1.08110019350831E-07,140.9476,0.03838665
1.08215744260933E-07,141.222,0.03834018
1.08361194865751E-07,141.5953,0.04565569
1.08469378103093E-07,141.8682,0.05432925
1.08579609183975E-07,142.1408,0.06326229
1.08707092427145E-07,142.4506,0.06959182
1.08838355113137E-07,142.7656,0.06909119
1.09008344094267E-07,143.1713,0.05985663
1.09103366011685E-07,143.3982,0.05192743
1.09190597181994E-07,143.6071,0.04438806
1.09291134576132E-07,143.8482,0.03805475
1.09403074636207E-07,144.1158,0.03550123
1.09528941272481E-07,144.4143,0.0383089
1.09636003509435E-07,144.6646,0.04456289
1.09740999631241E-07,144.9057,0.05231984
1.09860834863717E-07,145.1758,0.05979389
1.09987769276476E-07,145.4571,0.06317084
1.10132810354508E-07,145.7751,0.06016123
1.10277784168302E-07,146.0917,0.05158297
1.10378381366648E-07,146.3114,0.04398512
1.1047413916931E-07,146.5209,0.03769355
1.1059392816407E-07,146.7825,0.03333195
1.10706944169332E-07,147.0272,0.03390738
1.1086810578698E-07,147.371,0.04076187
1.10991972676707E-07,147.63,0.04810481
1.11113772506213E-07,147.8791,0.05421176
1.1124653264461E-07,148.146,0.05645681
1.1139158247653E-07,148.4343,0.05306533
1.11514602304406E-07,148.6778,0.04635273
1.11611441449798E-07,148.8693,0.03989521
1.11711389451093E-07,149.067,0.03422467
1.11833630066774E-07,149.308,0.03047551
1.11949949714258E-07,149.535,0.03115983
1.1211583850446E-07,149.8534,0.03743577
1.12244419058061E-07,150.0949,0.04390184
1.12369114319159E-07,150.3237,0.04880676
1.1250421164858E-07,150.5673,0.04991435
1.12654752473625E-07,150.8357,0.04601559
