t,i
3.75019e-07,-0.00510533
3.75112e-07,-0.00635928
3.75211e-07,-0.00723564
3.75335e-07,-0.007517
3.7548e-07,-0.00698079
3.75569e-07,-0.00632273
3.75645e-07,-0.0057037
3.75728e-07,-0.00521338
3.75822e-07,-0.00503211
3.75918e-07,-0.00539466
3.76068e-07,-0.00679299
3.76308e-07,-0.00977889
3.76437e-07,-0.0108208
3.76579e-07,-0.0110757
3.76743e-07,-0.0104839
3.76855e-07,-0.00982843
3.76963e-07,-0.00936577
3.77096e-07,-0.0094131
3.77235e-07,-0.0102384
3.77367e-07,-0.0115958
3.77496e-07,-0.0130305
3.77662e-07,-0.0143524
3.77815e-07,-0.0146803
3.78029e-07,-0.0140854
3.78171e-07,-0.0135679
3.78316e-07,-0.0135094
3.78478e-07,-0.0143179
3.78827e-07,-0.017398
3.79025e-07,-0.0182882
3.79219e-07,-0.0181775
3.79368e-07,-0.0177207
3.79523e-07,-0.017531
3.79717e-07,-0.0182236
3.79959e-07,-0.0200216
3.8015e-07,-0.0213483
3.8039e-07,-0.022013
3.80793e-07,-0.0215952
3.81022e-07,-0.0222671
3.81451e-07,-0.0250263
3.81733e-07,-0.0257416
3.8199e-07,-0.0256171
3.82203e-07,-0.0257457
3.82484e-07,-0.0269536
3.82814e-07,-0.0287561
3.83122e-07,-0.0295996
3.83427e-07,-0.02964
3.83678e-07,-0.0300471
3.84281e-07,-0.0328666
3.84638e-07,-0.0335307
3.84998e-07,-0.033904
3.85365e-07,-0.0350982
3.85739e-07,-0.0366839
3.86115e-07,-0.0375137
3.8651e-07,-0.0380101
3.86916e-07,-0.0392588
3.87335e-07,-0.0407937
3.88266e-07,-0.0425733
3.88792e-07,-0.0442748
3.89284e-07,-0.0455661
3.89811e-07,-0.0464357
3.90861e-07,-0.0493083
3.91631e-07,-0.0508008
3.93019e-07,-0.0541323
3.93978e-07,-0.0559795
3.95758e-07,-0.0597946
4.01009e-07,-0.0691226
4.16255e-07,-0.0898
4.18255e-07,-0.0937537
4.20255e-07,-0.0988817
4.22255e-07,-0.105409
4.24255e-07,-0.113718
4.26255e-07,-0.123852
4.27377e-07,-0.137227
4.27963e-07,-0.158691
4.28725e-07,-0.207804
4.28999e-07,-0.220575
4.29251e-07,-0.226843
4.2977e-07,-0.231178
4.30074e-07,-0.233942
4.3038e-07,-0.237674
4.3065e-07,-0.24033
4.31032e-07,-0.241288
4.31389e-07,-0.239363
4.31579e-07,-0.237276
4.31758e-07,-0.235052
4.32011e-07,-0.232401
4.32245e-07,-0.231019
4.3258e-07,-0.230893
4.329e-07,-0.232055
4.33264e-07,-0.233624
4.33613e-07,-0.233866
4.3406e-07,-0.231776
4.34644e-07,-0.227391
4.3527e-07,-0.223765
4.35862e-07,-0.22235
4.36569e-07,-0.220919
4.37173e-07,-0.217586
4.38357e-07,-0.207279
4.39565e-07,-0.199159
4.40222e-07,-0.193512
4.43298e-07,-0.157881
4.44306e-07,-0.144001
4.47544e-07,-0.0932971
4.49155e-07,-0.064261
4.5e-07,-0.0566249
4.50228e-07,-0.0682344
4.51021e-07,-0.237799
4.51246e-07,-0.252863
4.51537e-07,-0.234834
4.5222e-07,0.32697
4.53003e-07,2.77756
4.53405e-07,3.1976
4.55783e-07,-2.26708
4.55927e-07,-2.33874
4.5601e-07,-2.34212
4.5724e-07,-0.174994
4.58637e-07,1.7782
4.60806e-07,-0.464685
4.60997e-07,-0.464076
4.63243e-07,1.21019
4.6545e-07,0.0488754
4.65662e-07,0.0430193
4.68084e-07,1.23564
4.68292e-07,1.23614
4.70412e-07,0.558521
4.70613e-07,0.559981
4.73105e-07,1.23039
4.73338e-07,1.22639
4.75104e-07,0.955047
4.7533e-07,0.953996
4.77646e-07,1.35049
4.77971e-07,1.36797
4.78261e-07,1.36575
4.78486e-07,1.35387
4.79638e-07,1.25474
4.79973e-07,1.24674
4.80333e-07,1.25725
4.82736e-07,1.53199
4.83107e-07,1.5433
4.83335e-07,1.54265
4.83538e-07,1.53798
4.84263e-07,1.5145
4.84595e-07,1.51052
4.85049e-07,1.51865
4.85549e-07,1.54368
4.874e-07,1.70449
4.87834e-07,1.72392
4.88089e-07,1.73026
4.88293e-07,1.73246
4.88487e-07,1.73305
4.88688e-07,1.73287
4.88891e-07,1.73255
4.89139e-07,1.73301
4.89451e-07,1.73633
4.89843e-07,1.74608
4.90258e-07,1.76292
4.92241e-07,1.89145
4.92691e-07,1.91028
4.92938e-07,1.91789
4.93139e-07,1.92241
4.93335e-07,1.92596
4.93751e-07,1.93235
4.94045e-07,1.93739
4.9438e-07,1.94498
4.94824e-07,1.9585
4.96772e-07,2.05669
4.97546e-07,2.08878
4.9798e-07,2.10181
